ts,type,code,qty,reason,task_id,ref,user
1763748575.016794,OUT,DISJ,11,OUT,,,app
1763772184.786033,IN,EC_JOINTS_CUVE,12,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763772184.8376627,IN,EC_JOINTS_RADIATEURS,11,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763772184.8609586,IN,EC_JOINTS_CONSERVATEUR,12,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763772184.887036,IN,EC_JOINTS_TORIQUES,13,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763772184.9028356,IN,EC_PRESSE_ETOUPES,18,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763772184.933422,IN,EC_BOULONNERIE,5,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763772184.9541929,IN,ISO_ISOLATEURS_HT,3,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
1763777727.3448293,IN,EC_JOINTS_CUVE,50,Maj stock pièces recommandées,,MAJ_STOCK_SPARES,app
